":START_ID",":END_ID","weight:int",":TYPE"
"87abcbbed3a7","daccc0763a76","1","CO_AUTHORED_WITH"
"daccc0763a76","4eeb6271bd57","1","CO_AUTHORED_WITH"
"c9af7ef82ace","daccc0763a76","1","CO_AUTHORED_WITH"
"daccc0763a76","79a229b69096","1","CO_AUTHORED_WITH"
"87abcbbed3a7","4eeb6271bd57","1","CO_AUTHORED_WITH"
"87abcbbed3a7","c9af7ef82ace","1","CO_AUTHORED_WITH"
"87abcbbed3a7","79a229b69096","1","CO_AUTHORED_WITH"
"c9af7ef82ace","4eeb6271bd57","1","CO_AUTHORED_WITH"
"79a229b69096","4eeb6271bd57","1","CO_AUTHORED_WITH"
"c9af7ef82ace","79a229b69096","1","CO_AUTHORED_WITH"
"0d9080cf277d","25e175b2576d","1","CO_AUTHORED_WITH"
"0d9080cf277d","51cbe573a700","1","CO_AUTHORED_WITH"
"0d9080cf277d","6e98eb357ffd","2","CO_AUTHORED_WITH"
"0d9080cf277d","a83d8ed4b94a","3","CO_AUTHORED_WITH"
"25e175b2576d","51cbe573a700","1","CO_AUTHORED_WITH"
"6e98eb357ffd","25e175b2576d","5","CO_AUTHORED_WITH"
"25e175b2576d","a83d8ed4b94a","3","CO_AUTHORED_WITH"
"6e98eb357ffd","51cbe573a700","1","CO_AUTHORED_WITH"
"a83d8ed4b94a","51cbe573a700","1","CO_AUTHORED_WITH"
"6e98eb357ffd","a83d8ed4b94a","6","CO_AUTHORED_WITH"
"eac291ee8f12","439f75d57ae5","2","CO_AUTHORED_WITH"
"1b82dd92d162","eac291ee8f12","1","CO_AUTHORED_WITH"
"f9a1adc22105","eac291ee8f12","1","CO_AUTHORED_WITH"
"f29393dd84a3","eac291ee8f12","1","CO_AUTHORED_WITH"
"eac291ee8f12","7dc099c58e28","3","CO_AUTHORED_WITH"
"1b82dd92d162","439f75d57ae5","1","CO_AUTHORED_WITH"
"f9a1adc22105","439f75d57ae5","1","CO_AUTHORED_WITH"
"f29393dd84a3","439f75d57ae5","1","CO_AUTHORED_WITH"
"439f75d57ae5","7dc099c58e28","2","CO_AUTHORED_WITH"
"1b82dd92d162","f9a1adc22105","1","CO_AUTHORED_WITH"
"f29393dd84a3","1b82dd92d162","1","CO_AUTHORED_WITH"
"1b82dd92d162","7dc099c58e28","1","CO_AUTHORED_WITH"
"f29393dd84a3","f9a1adc22105","1","CO_AUTHORED_WITH"
"f9a1adc22105","7dc099c58e28","2","CO_AUTHORED_WITH"
"f29393dd84a3","7dc099c58e28","2","CO_AUTHORED_WITH"
"aa3bbdb9a46f","f8cd8a4fcc9d","5","CO_AUTHORED_WITH"
"aa3bbdb9a46f","a1920caf920a","3","CO_AUTHORED_WITH"
"60c0045f6e3a","aa3bbdb9a46f","1","CO_AUTHORED_WITH"
"b4c803d563a4","aa3bbdb9a46f","1","CO_AUTHORED_WITH"
"aa3bbdb9a46f","e0d13be80053","1","CO_AUTHORED_WITH"
"aa3bbdb9a46f","d872faa10ab7","1","CO_AUTHORED_WITH"
"aa3bbdb9a46f","213e5f9eb757","2","CO_AUTHORED_WITH"
"b0b20ffaac0a","aa3bbdb9a46f","1","CO_AUTHORED_WITH"
"aa3bbdb9a46f","04b702fad09a","1","CO_AUTHORED_WITH"
"aa3bbdb9a46f","2e4798e0b64c","2","CO_AUTHORED_WITH"
"a1920caf920a","f8cd8a4fcc9d","4","CO_AUTHORED_WITH"
"60c0045f6e3a","f8cd8a4fcc9d","1","CO_AUTHORED_WITH"
"b4c803d563a4","f8cd8a4fcc9d","1","CO_AUTHORED_WITH"
"f8cd8a4fcc9d","e0d13be80053","1","CO_AUTHORED_WITH"
"f8cd8a4fcc9d","d872faa10ab7","1","CO_AUTHORED_WITH"
"f8cd8a4fcc9d","213e5f9eb757","1","CO_AUTHORED_WITH"
"b0b20ffaac0a","f8cd8a4fcc9d","1","CO_AUTHORED_WITH"
"f8cd8a4fcc9d","04b702fad09a","2","CO_AUTHORED_WITH"
"f8cd8a4fcc9d","2e4798e0b64c","2","CO_AUTHORED_WITH"
"60c0045f6e3a","a1920caf920a","1","CO_AUTHORED_WITH"
"b4c803d563a4","a1920caf920a","1","CO_AUTHORED_WITH"
"a1920caf920a","e0d13be80053","1","CO_AUTHORED_WITH"
"a1920caf920a","d872faa10ab7","1","CO_AUTHORED_WITH"
"a1920caf920a","213e5f9eb757","1","CO_AUTHORED_WITH"
"b0b20ffaac0a","a1920caf920a","1","CO_AUTHORED_WITH"
"a1920caf920a","04b702fad09a","3","CO_AUTHORED_WITH"
